OrderID,OrderDate,Country,Region,Category,Product,UnitsSold,UnitPrice,TotalRevenue
1044,2025-02-20,Egypt,Africa,Home Goods,Coffee Maker,36,276.79,9964.44
1045,2023-02-11,Thailand,Asia,Electronics,Laptop,27,1458.11,39368.97
1046,2023-09-16,Turkey,Europe,Electronics,Headphones,38,450.2,17107.6
1047,2024-05-05,Argentina,South America,Books,Fiction Novel,5,64.39,321.95
1048,2023-06-15,France,Europe,Electronics,Laptop,9,1179.06,10611.54
1049,2024-10-02,Brazil,South America,Books,History Text,24,72.81,1747.44
1050,2024-11-23,China,Asia,Home Goods,Blender,23,474.52,10913.96
1051,2025-01-03,Switzerland,Europe,Home Goods,Blender,4,368.63,1474.52
1052,2025-05-11,Netherlands,Europe,Home Goods,Bed Frame,49,744.48,36479.52
1053,2025-06-27,Nigeria,Africa,Books,Fiction Novel,39,20.97,817.83
1054,2025-06-28,Malaysia,Asia,Apparel,Dress,34,41.77,1420.18
1055,2024-09-11,Vietnam,Asia,Home Goods,Sofa,20,752.92,15058.4
1056,2024-06-01,Brazil,South America,Home Goods,Sofa,2,471.69,943.38
1057,2023-08-24,Egypt,Africa,Home Goods,Blender,5,744.12,3720.6
1058,2025-05-26,Philippines,Asia,Books,Fiction Novel,36,72.81,2621.16
1059,2024-07-09,Saudi Arabia,Asia,Books,History Text,42,52.03,2185.26
1060,2023-09-28,Mexico,North America,Apparel,Jeans,9,109.51,985.59
1061,2023-05-29,Egypt,Africa,Books,Science Journal,27,19.46,525.42
1062,2024-02-17,Turkey,Europe,Home Goods,Bed Frame,11,280.78,3088.58
1063,2023-12-06,Pakistan,Asia,Apparel,T-Shirt,4,106.18,424.72
1064,2023-09-14,Vietnam,Asia,Apparel,Dress,28,119.71,3351.88
1065,2024-12-12,Russia,Europe,Electronics,Headphones,29,1279.63,37109.27
1066,2023-11-23,Saudi Arabia,Asia,Apparel,Sneakers,45,63.81,2871.45
1067,2024-03-28,Australia,Oceania,Home Goods,Vacuum Cleaner,34,338.64,11513.76
1068,2024-10-22,United States,North America,Home Goods,Sofa,35,645.67,22598.45
1069,2023-06-23,Thailand,Asia,Electronics,Tablet,18,1095.59,19720.62
1070,2023-01-03,Pakistan,Asia,Electronics,Tablet,25,657.4,16435.0
1071,2023-11-12,Vietnam,Asia,Electronics,Laptop,22,288.29,6342.38
1072,2024-11-29,Indonesia,Asia,Electronics,Tablet,40,175.12,7004.8
1073,2025-04-27,Vietnam,Asia,Books,History Text,13,15.64,203.32
1074,2024-10-21,Malaysia,Asia,Home Goods,Sofa,46,596.03,27417.38
1075,2023-10-07,Turkey,Europe,Books,Fiction Novel,45,34.04,1531.8
1076,2025-03-20,Netherlands,Europe,Home Goods,Blender,22,579.08,12739.76
1077,2023-07-16,Australia,Oceania,Home Goods,Blender,39,62.76,2447.64
1078,2023-12-28,United States,North America,Apparel,Dress,25,185.06,4626.5
1079,2024-06-28,Bangladesh,Asia,Home Goods,Coffee Maker,31,395.62,12264.22
1080,2023-07-07,China,Asia,Apparel,Jacket,20,225.59,4511.8
1081,2023-06-18,Indonesia,Asia,Electronics,Smartwatch,24,1095.64,26295.36
1082,2023-04-08,Germany,Europe,Electronics,Smartphone,39,505.51,19714.89
1083,2024-01-09,Brazil,South America,Apparel,Dress,13,240.54,3127.02
1084,2024-07-22,Indonesia,Asia,Home Goods,Vacuum Cleaner,48,651.87,31289.76
1085,2024-08-21,Netherlands,Europe,Home Goods,Vacuum Cleaner,48,83.51,4008.48
1086,2024-07-29,Russia,Europe,Home Goods,Sofa,3,415.82,1247.46
1087,2025-07-27,Malaysia,Asia,Apparel,Dress,37,107.46,3976.02
1088,2024-02-07,United Kingdom,Europe,Electronics,Smartphone,7,993.67,6955.69
1089,2023-02-16,Mexico,North America,Books,Biography,50,60.77,3038.5
1090,2023-04-24,France,Europe,Apparel,Sneakers,15,238.32,3574.8
1091,2023-09-06,China,Asia,Books,Cookbook,32,35.52,1136.64
1092,2023-07-29,Netherlands,Europe,Electronics,Smartphone,21,537.66,11290.86
1093,2024-04-29,Australia,Oceania,Books,Fiction Novel,36,25.07,902.52
1094,2023-06-26,Pakistan,Asia,Electronics,Smartphone,10,1031.87,10318.7
1095,2024-06-20,Australia,Oceania,Books,Biography,11,21.38,235.18
1096,2024-08-23,Egypt,Africa,Electronics,Laptop,9,989.82,8908.38
1097,2024-04-04,United States,North America,Electronics,Headphones,33,223.36,7370.88
1098,2025-02-22,Egypt,Africa,Home Goods,Coffee Maker,39,394.18,15373.02
1099,2025-05-10,Netherlands,Europe,Books,Science Journal,3,72.15,216.45
1100,2023-12-18,France,Europe,Books,History Text,17,14.87,252.79
1101,2023-03-21,Netherlands,Europe,Home Goods,Blender,50,505.44,25272.0
1102,2025-01-24,Saudi Arabia,Asia,Apparel,Jacket,8,50.41,403.28
1103,2023-01-06,South Africa,Africa,Electronics,Tablet,19,839.41,15948.79
1104,2024-11-27,Pakistan,Asia,Apparel,T-Shirt,37,196.24,7260.88
1105,2024-07-09,Switzerland,Europe,Home Goods,Blender,13,772.17,10038.21
1106,2023-10-04,South Korea,Asia,Home Goods,Sofa,26,606.05,15757.3
1107,2023-01-11,Egypt,Africa,Electronics,Laptop,45,392.41,17658.45
1108,2023-12-31,Brazil,South America,Apparel,Jacket,40,28.76,1150.4
1109,2024-08-16,Spain,Europe,Home Goods,Bed Frame,41,365.49,14985.09
1110,2024-09-30,Indonesia,Asia,Home Goods,Bed Frame,40,430.99,17239.6
1111,2023-03-30,Malaysia,Asia,Apparel,Dress,33,106.19,3504.27
1112,2023-06-18,Pakistan,Asia,Apparel,Jacket,11,155.6,1711.6
1113,2025-07-24,Vietnam,Asia,Electronics,Tablet,17,596.68,10143.56
1114,2025-04-08,Vietnam,Asia,Apparel,Sneakers,10,141.14,1411.4
1115,2024-11-21,South Africa,Africa,Books,Science Journal,36,50.3,1810.8
1116,2025-07-05,India,Asia,Electronics,Laptop,43,545.6,23460.8
1117,2025-01-03,Pakistan,Asia,Electronics,Headphones,39,120.11,4684.29
1118,2023-07-12,Netherlands,Europe,Books,Fiction Novel,41,52.9,2168.9
1119,2025-05-11,Italy,Europe,Electronics,Tablet,26,712.86,18534.36
1120,2024-04-25,Bangladesh,Asia,Books,History Text,34,51.15,1739.1
1121,2025-04-30,Australia,Oceania,Books,Biography,24,32.17,772.08
1122,2024-07-20,Australia,Oceania,Home Goods,Sofa,48,96.95,4653.6
1123,2025-02-01,Indonesia,Asia,Electronics,Headphones,43,1174.3,50494.9
1124,2023-10-07,Netherlands,Europe,Electronics,Tablet,39,262.91,10253.49
1125,2024-03-26,Switzerland,Europe,Apparel,Dress,35,18.04,631.4
1126,2024-06-27,Spain,Europe,Electronics,Laptop,32,1014.89,32476.48
1127,2023-09-01,South Africa,Africa,Books,Fiction Novel,49,20.29,994.21
1128,2024-12-20,South Korea,Asia,Apparel,Sneakers,36,249.79,8992.44
1129,2023-12-28,United States,North America,Apparel,Dress,38,162.09,6159.42
1130,2024-01-18,South Africa,Africa,Books,Fiction Novel,1,19.75,19.75
1131,2024-02-02,Pakistan,Asia,Electronics,Tablet,19,305.75,5809.25
1132,2024-02-23,Thailand,Asia,Home Goods,Vacuum Cleaner,26,392.53,10205.78
1133,2024-05-14,Brazil,South America,Books,Fiction Novel,31,34.12,1057.72
1134,2025-01-22,Bangladesh,Asia,Home Goods,Blender,6,416.67,2500.02
1135,2025-04-14,Egypt,Africa,Books,Fiction Novel,7,14.63,102.41
1136,2024-01-19,Mexico,North America,Apparel,Jeans,35,117.01,4095.35
1137,2023-08-20,Indonesia,Asia,Apparel,Sneakers,7,124.39,870.73
1138,2023-02-25,Turkey,Europe,Home Goods,Bed Frame,26,504.89,13127.14
1139,2024-11-11,United States,North America,Apparel,Jacket,7,138.91,972.37
1140,2024-02-03,Vietnam,Asia,Home Goods,Coffee Maker,16,87.54,1400.64
1141,2023-04-04,United States,North America,Electronics,Tablet,39,891.62,34773.18
1142,2025-04-11,India,Asia,Electronics,Headphones,14,763.06,10682.84
1143,2023-05-19,France,Europe,Books,Science Journal,40,69.93,2797.2
1144,2023-12-01,South Korea,Asia,Home Goods,Blender,24,473.52,11364.48
1145,2023-06-03,Italy,Europe,Electronics,Smartwatch,23,581.46,13373.58
1146,2025-01-16,Bangladesh,Asia,Electronics,Smartwatch,9,907.12,8164.08
1147,2025-03-20,Japan,Asia,Home Goods,Vacuum Cleaner,41,81.47,3340.27
1148,2024-12-23,Thailand,Asia,Books,Biography,48,45.19,2169.12
1149,2023-10-23,Pakistan,Asia,Electronics,Smartphone,14,200.28,2803.92
1150,2023-10-08,United Kingdom,Europe,Electronics,Tablet,47,432.51,20327.97
1151,2024-12-27,South Africa,Africa,Apparel,T-Shirt,49,183.26,8979.74
1152,2024-12-24,Brazil,South America,Electronics,Headphones,38,1033.82,39285.16
1153,2025-01-30,United Kingdom,Europe,Apparel,Jacket,35,89.13,3119.55
1154,2024-04-14,Mexico,North America,Apparel,Sneakers,44,88.53,3895.32
1155,2025-07-04,South Africa,Africa,Books,History Text,5,72.5,362.5
1156,2023-07-13,Egypt,Africa,Books,Biography,24,50.04,1200.96
1157,2023-05-20,Mexico,North America,Electronics,Smartphone,21,1375.6,28887.6
1158,2023-04-11,Canada,North America,Apparel,Jeans,4,124.48,497.92
1159,2023-02-27,Russia,Europe,Apparel,T-Shirt,50,83.28,4164.0
1160,2023-12-09,Malaysia,Asia,Home Goods,Bed Frame,16,389.16,6226.56
1161,2023-04-26,Malaysia,Asia,Books,History Text,34,69.86,2375.24
1162,2023-09-30,Switzerland,Europe,Home Goods,Bed Frame,37,204.46,7565.02
1163,2024-03-24,Japan,Asia,Books,Fiction Novel,36,22.8,820.8
1164,2023-07-29,Vietnam,Asia,Books,Science Journal,4,30.41,121.64
1165,2025-04-20,Malaysia,Asia,Books,History Text,47,36.57,1718.79
1166,2025-07-15,Saudi Arabia,Asia,Books,Science Journal,13,69.27,900.51
1167,2025-01-16,Russia,Europe,Home Goods,Bed Frame,27,601.98,16253.46
1168,2023-10-16,Turkey,Europe,Apparel,Dress,6,180.32,1081.92
1169,2024-12-12,Brazil,South America,Electronics,Laptop,2,535.12,1070.24
1170,2025-02-11,Philippines,Asia,Books,Biography,11,17.81,195.91
1171,2024-05-11,Indonesia,Asia,Books,Science Journal,41,44.58,1827.78
1172,2023-10-08,Indonesia,Asia,Apparel,T-Shirt,19,24.47,464.93
1173,2023-11-26,Switzerland,Europe,Apparel,T-Shirt,37,141.8,5246.6
1174,2025-07-10,Brazil,South America,Home Goods,Coffee Maker,41,144.22,5913.02
1175,2024-02-28,Indonesia,Asia,Electronics,Smartwatch,26,111.1,2888.6
1176,2025-02-02,Egypt,Africa,Home Goods,Coffee Maker,8,320.92,2567.36
1177,2025-02-05,Canada,North America,Electronics,Laptop,15,1034.43,15516.45
1178,2025-05-02,Germany,Europe,Electronics,Smartwatch,31,463.17,14358.27
1179,2023-08-09,Pakistan,Asia,Electronics,Headphones,38,735.37,27944.06
1180,2024-05-17,Netherlands,Europe,Books,Cookbook,50,34.82,1741.0
1181,2023-02-04,Brazil,South America,Apparel,Dress,36,176.36,6348.96
1182,2023-01-04,Netherlands,Europe,Home Goods,Sofa,18,248.14,4466.52
1183,2023-10-20,United States,North America,Books,Fiction Novel,29,73.78,2139.62
1184,2023-08-21,United Kingdom,Europe,Home Goods,Sofa,41,576.26,23626.66
1185,2024-11-17,Japan,Asia,Home Goods,Vacuum Cleaner,29,761.54,22084.66
1186,2023-02-08,Germany,Europe,Apparel,Sneakers,10,160.39,1603.9
1187,2023-10-24,Malaysia,Asia,Electronics,Smartwatch,10,216.25,2162.5
1188,2024-02-02,Pakistan,Asia,Home Goods,Blender,45,588.97,26503.65
1189,2024-01-08,Switzerland,Europe,Electronics,Smartwatch,4,1112.6,4450.4
1190,2024-01-08,Canada,North America,Apparel,T-Shirt,26,106.32,2764.32
1191,2025-02-07,Bangladesh,Asia,Apparel,Jacket,30,242.54,7276.2
1192,2023-04-18,Bangladesh,Asia,Electronics,Tablet,50,859.08,42954.0
1193,2024-08-17,Indonesia,Asia,Electronics,Headphones,2,659.1,1318.2
1194,2024-11-08,Switzerland,Europe,Electronics,Smartwatch,48,580.53,27865.44
1195,2024-04-13,Egypt,Africa,Apparel,T-Shirt,13,29.59,384.67
1196,2024-07-27,Russia,Europe,Apparel,Sneakers,27,194.14,5241.78
1197,2024-05-17,United States,North America,Books,Science Journal,3,28.37,85.11
1198,2025-03-24,Russia,Europe,Books,History Text,15,70.32,1054.8
1199,2023-09-10,Nigeria,Africa,Home Goods,Sofa,10,427.79,4277.9
1200,2025-05-01,Vietnam,Asia,Home Goods,Vacuum Cleaner,30,186.4,5592.0
1201,2024-06-11,United States,North America,Apparel,Jeans,23,93.03,2139.69
1202,2025-04-04,Brazil,South America,Apparel,Dress,34,185.82,6317.88
1203,2023-03-08,Turkey,Europe,Apparel,Jeans,2,201.65,403.3
1204,2024-09-09,China,Asia,Electronics,Laptop,30,812.16,24364.8
1205,2024-05-08,Brazil,South America,Home Goods,Coffee Maker,48,101.83,4887.84
1206,2024-07-31,Switzerland,Europe,Books,Cookbook,30,38.31,1149.3
1207,2025-07-03,India,Asia,Books,Fiction Novel,31,48.64,1507.84
1208,2023-09-25,Russia,Europe,Home Goods,Coffee Maker,33,738.59,24373.47
1209,2025-06-30,Brazil,South America,Apparel,Jeans,49,206.56,10121.44
1210,2023-03-16,Spain,Europe,Books,Fiction Novel,26,44.08,1146.08
1211,2025-01-21,Switzerland,Europe,Electronics,Laptop,11,144.5,1589.5
1212,2025-02-11,Netherlands,Europe,Home Goods,Bed Frame,15,422.13,6331.95
1213,2023-08-01,South Korea,Asia,Books,Biography,26,18.95,492.7
1214,2024-01-24,South Korea,Asia,Home Goods,Vacuum Cleaner,25,655.09,16377.25
1215,2023-04-08,Argentina,South America,Electronics,Smartphone,11,826.41,9090.51
1216,2024-07-11,Malaysia,Asia,Electronics,Tablet,37,1443.17,53397.29
1217,2024-09-11,Switzerland,Europe,Electronics,Headphones,34,1105.18,37576.12
1218,2025-07-25,Nigeria,Africa,Electronics,Headphones,5,461.95,2309.75
1219,2023-01-17,Philippines,Asia,Books,Cookbook,43,76.41,3285.63
1220,2023-12-20,South Africa,Africa,Electronics,Headphones,26,1055.07,27431.82
1221,2023-03-13,Germany,Europe,Books,Biography,33,35.52,1172.16
1222,2025-03-27,Spain,Europe,Electronics,Tablet,12,1123.98,13487.76
1223,2023-11-16,France,Europe,Apparel,T-Shirt,38,76.4,2903.2
1224,2024-02-17,Pakistan,Asia,Apparel,Jacket,1,213.83,213.83
1225,2023-07-22,Indonesia,Asia,Apparel,T-Shirt,45,122.34,5505.3
1226,2024-03-22,Russia,Europe,Apparel,Jeans,37,107.42,3974.54
1227,2025-06-17,Malaysia,Asia,Home Goods,Coffee Maker,8,423.92,3391.36
1228,2025-06-08,Australia,Oceania,Books,Biography,25,17.27,431.75
1229,2023-07-27,South Africa,Africa,Home Goods,Coffee Maker,19,624.9,11873.1
1230,2023-10-18,Switzerland,Europe,Apparel,T-Shirt,2,246.47,492.94
1231,2023-02-11,China,Asia,Books,Biography,33,11.89,392.37
1232,2025-07-15,Germany,Europe,Apparel,T-Shirt,12,78.02,936.24
1233,2023-08-26,Pakistan,Asia,Home Goods,Blender,40,300.76,12030.4
1234,2023-07-08,Spain,Europe,Apparel,T-Shirt,5,177.51,887.55
1235,2024-03-26,South Africa,Africa,Electronics,Headphones,48,795.89,38202.72
1236,2025-03-14,France,Europe,Home Goods,Vacuum Cleaner,38,568.8,21614.4
1237,2024-12-17,China,Asia,Apparel,Jeans,21,132.07,2773.47
1238,2023-06-30,Pakistan,Asia,Home Goods,Sofa,12,435.06,5220.72
1239,2023-04-28,Australia,Oceania,Home Goods,Coffee Maker,29,444.95,12903.55
1240,2023-01-08,Bangladesh,Asia,Books,Science Journal,41,71.2,2919.2
1241,2023-02-09,South Africa,Africa,Electronics,Tablet,45,311.17,14002.65
1242,2025-04-24,Russia,Europe,Electronics,Laptop,1,1106.6,1106.6
1243,2023-02-10,France,Europe,Home Goods,Sofa,1,633.42,633.42
1244,2025-07-27,Malaysia,Asia,Apparel,Sneakers,18,144.09,2593.62
1245,2023-03-27,Nigeria,Africa,Electronics,Laptop,41,1181.55,48443.55
1246,2023-12-01,China,Asia,Books,History Text,7,36.29,254.03
1247,2023-10-17,Indonesia,Asia,Electronics,Tablet,30,342.27,10268.1
1248,2024-05-16,South Africa,Africa,Electronics,Smartwatch,39,662.52,25838.28
1249,2023-09-23,United States,North America,Books,Science Journal,25,45.73,1143.25
1250,2024-04-14,Philippines,Asia,Home Goods,Bed Frame,48,318.84,15304.32
1251,2024-10-14,Netherlands,Europe,Books,Science Journal,22,51.56,1134.32
1252,2024-09-18,Bangladesh,Asia,Apparel,Dress,27,180.09,4862.43
1253,2025-01-27,Pakistan,Asia,Home Goods,Bed Frame,33,53.29,1758.57
1254,2023-11-21,Saudi Arabia,Asia,Home Goods,Blender,9,130.99,1178.91
1255,2024-01-24,South Korea,Asia,Apparel,Jeans,18,216.37,3894.66
1256,2024-06-12,Spain,Europe,Electronics,Smartwatch,9,1178.99,10610.91
1257,2025-05-10,Bangladesh,Asia,Home Goods,Bed Frame,27,191.67,5175.09
1258,2024-03-28,United States,North America,Home Goods,Coffee Maker,21,386.12,8108.52
1259,2023-11-27,Philippines,Asia,Electronics,Headphones,33,1185.52,39122.16
1260,2024-02-14,Switzerland,Europe,Books,Science Journal,26,37.22,967.72
1261,2025-07-06,Nigeria,Africa,Electronics,Laptop,1,633.94,633.94
1262,2023-03-30,South Africa,Africa,Home Goods,Coffee Maker,11,753.74,8291.14
1263,2024-12-17,Spain,Europe,Home Goods,Vacuum Cleaner,36,56.47,2032.92
1264,2023-04-12,Bangladesh,Asia,Books,Fiction Novel,30,54.03,1620.9
1265,2024-07-23,South Africa,Africa,Electronics,Tablet,17,219.69,3734.73
1266,2025-06-04,Switzerland,Europe,Apparel,Jacket,44,22.31,981.64
1267,2024-06-02,Australia,Oceania,Electronics,Smartwatch,9,118.57,1067.13
1268,2023-07-19,Netherlands,Europe,Apparel,Jeans,41,225.06,9227.46
1269,2025-06-11,South Korea,Asia,Books,Biography,30,14.1,423.0
1270,2024-04-11,Switzerland,Europe,Home Goods,Blender,4,82.35,329.4
1271,2023-09-26,South Africa,Africa,Apparel,T-Shirt,9,53.19,478.71
1272,2023-02-11,Germany,Europe,Books,History Text,47,60.34,2835.98
1273,2024-03-22,Mexico,North America,Home Goods,Sofa,25,733.39,18334.75
1274,2023-11-17,China,Asia,Apparel,T-Shirt,35,164.38,5753.3
1275,2024-02-12,Indonesia,Asia,Books,Fiction Novel,7,66.67,466.69
1276,2023-05-23,Russia,Europe,Books,Fiction Novel,41,64.23,2633.43
1277,2023-12-01,France,Europe,Apparel,Dress,35,86.43,3025.05
1278,2023-12-04,France,Europe,Electronics,Laptop,3,574.81,1724.43
1279,2024-07-11,Nigeria,Africa,Electronics,Headphones,14,1093.39,15307.46
1280,2023-06-25,Philippines,Asia,Electronics,Tablet,3,958.93,2876.79
1281,2024-07-18,Argentina,South America,Books,History Text,50,63.41,3170.5
1282,2025-07-13,South Africa,Africa,Apparel,Jeans,7,126.06,882.42
1283,2025-04-04,Germany,Europe,Apparel,Dress,16,68.11,1089.76
1284,2023-05-16,Philippines,Asia,Books,Science Journal,38,73.94,2809.72
1285,2024-07-01,Turkey,Europe,Apparel,Jeans,10,145.53,1455.3
1286,2023-09-13,India,Asia,Apparel,Jacket,48,168.55,8090.4
1287,2024-10-18,Thailand,Asia,Electronics,Laptop,6,637.91,3827.46
1288,2023-05-29,Canada,North America,Apparel,Sneakers,40,36.84,1473.6
1289,2024-12-08,Spain,Europe,Apparel,Dress,38,103.26,3923.88
1290,2024-05-31,Thailand,Asia,Apparel,Jacket,33,128.04,4225.32
1291,2023-10-19,Netherlands,Europe,Apparel,Jacket,34,246.79,8390.86
1292,2025-06-17,Egypt,Africa,Books,Fiction Novel,40,45.61,1824.4
1293,2025-07-07,Japan,Asia,Home Goods,Vacuum Cleaner,36,54.13,1948.68
1294,2023-02-03,Germany,Europe,Apparel,Dress,7,48.73,341.11
1295,2024-07-06,Egypt,Africa,Home Goods,Blender,38,712.86,27088.68
1296,2023-07-21,Indonesia,Asia,Home Goods,Vacuum Cleaner,30,266.05,7981.5
1297,2024-11-19,Russia,Europe,Apparel,T-Shirt,5,248.2,1241.0
1298,2024-07-20,Nigeria,Africa,Apparel,Jacket,35,180.53,6318.55
1299,2024-04-02,Saudi Arabia,Asia,Apparel,Dress,8,247.69,1981.52
1300,2025-04-13,Russia,Europe,Books,Cookbook,15,70.57,1058.55
1301,2023-08-19,South Africa,Africa,Apparel,Jeans,38,78.01,2964.38
1302,2025-01-31,China,Asia,Books,Biography,35,53.43,1870.05
1303,2023-07-09,Malaysia,Asia,Books,Science Journal,16,51.66,826.56
1304,2024-05-09,France,Europe,Apparel,Jeans,48,63.0,3024.0
1305,2025-06-30,Brazil,South America,Apparel,T-Shirt,20,174.92,3498.4
1306,2023-03-29,Indonesia,Asia,Books,Biography,26,76.04,1977.04
1307,2023-10-25,South Africa,Africa,Home Goods,Sofa,33,594.25,19610.25
1308,2025-06-10,Spain,Europe,Books,History Text,23,10.78,247.94
1309,2023-05-12,Vietnam,Asia,Books,Fiction Novel,10,73.05,730.5
1310,2024-06-04,Australia,Oceania,Apparel,Jeans,6,245.44,1472.64
1311,2023-04-29,Bangladesh,Asia,Electronics,Tablet,43,1063.34,45723.62
1312,2024-06-16,India,Asia,Electronics,Smartphone,6,931.2,5587.2
1313,2024-04-18,Canada,North America,Apparel,T-Shirt,4,224.25,897.0
1314,2024-07-12,Brazil,South America,Books,Cookbook,39,20.77,810.03
1315,2023-06-15,Malaysia,Asia,Apparel,Sneakers,42,222.2,9332.4
1316,2023-01-09,United Kingdom,Europe,Books,Cookbook,26,32.78,852.28
1317,2024-06-12,Nigeria,Africa,Home Goods,Sofa,1,567.23,567.23
1318,2025-03-03,Nigeria,Africa,Apparel,T-Shirt,44,60.74,2672.56
1319,2024-06-28,Mexico,North America,Electronics,Smartwatch,11,200.03,2200.33
1320,2023-12-19,Switzerland,Europe,Apparel,T-Shirt,35,91.58,3205.3
1321,2023-09-04,Russia,Europe,Home Goods,Vacuum Cleaner,30,605.42,18162.6
1322,2023-09-26,Nigeria,Africa,Home Goods,Sofa,32,290.44,9294.08
1323,2023-04-04,Nigeria,Africa,Books,Fiction Novel,31,74.09,2296.79
1324,2023-10-09,Indonesia,Asia,Apparel,Jeans,8,162.68,1301.44
1325,2025-02-26,Mexico,North America,Books,Science Journal,38,78.48,2982.24
1326,2025-03-03,Switzerland,Europe,Apparel,Sneakers,7,107.03,749.21
1327,2024-01-19,Philippines,Asia,Books,Fiction Novel,30,27.02,810.6
1328,2023-12-18,Saudi Arabia,Asia,Electronics,Tablet,48,378.49,18167.52
1329,2023-05-15,Saudi Arabia,Asia,Home Goods,Coffee Maker,29,767.14,22247.06
1330,2024-01-16,China,Asia,Electronics,Smartwatch,16,248.51,3976.16
1331,2024-05-22,Switzerland,Europe,Home Goods,Sofa,1,654.94,654.94
1332,2024-09-06,United States,North America,Books,Fiction Novel,16,28.61,457.76
1333,2025-01-03,United States,North America,Electronics,Headphones,26,916.26,23822.76
1334,2024-11-18,Switzerland,Europe,Home Goods,Blender,28,653.48,18297.44
1335,2023-02-10,Turkey,Europe,Electronics,Laptop,42,461.06,19364.52
1336,2024-11-14,South Korea,Asia,Books,History Text,8,64.87,518.96
1337,2024-11-06,Nigeria,Africa,Books,Cookbook,32,65.14,2084.48
1338,2025-01-02,Canada,North America,Apparel,Dress,29,142.38,4129.02
1339,2024-06-28,Germany,Europe,Home Goods,Blender,28,537.94,15062.32
1340,2024-10-10,Mexico,North America,Home Goods,Sofa,47,87.51,4112.97
1341,2024-09-07,Turkey,Europe,Home Goods,Blender,16,442.16,7074.56
1342,2024-02-17,Turkey,Europe,Electronics,Laptop,5,506.09,2530.45
1343,2023-02-01,Japan,Asia,Home Goods,Blender,26,471.01,12246.26
